weight_a,weight_b,accuracy,macro_f1
1.0,0.0,0.9451044903430208,0.9425417991638514
0.99,0.01,0.9451044903430208,0.9424919543631556
0.98,0.02,0.9453481995978797,0.9427952764550533
0.97,0.03,0.9454091269115945,0.9428856838775905
0.96,0.04,0.9455309815390239,0.9429646343939588
0.95,0.05,0.9454700542253092,0.9430182154308047
0.94,0.06,0.9457746907938829,0.9435924931319762
0.93,0.07,0.9458965454213124,0.9436714439164235
0.92,0.08,0.9460793273624566,0.9438407148793002
0.91,0.09,0.9461402546761714,0.9438745606667318
0.9,0.1,0.9460793273624566,0.9438349465844174
0.89,0.11,0.9460793273624566,0.9438844859122586
0.88,0.12,0.9460793273624566,0.9438902258288195
0.87,0.13,0.9462011819898861,0.9440620663904313
0.86,0.14,0.9462621093036008,0.9441465538415965
0.85,0.15,0.9465058185584597,0.944347108493242
0.84,0.16,0.9468104551270334,0.9448280932743518
0.83,0.17,0.9471760190093219,0.9454018373129048
0.82,0.18,0.9474197282641809,0.9456022261669317
0.81,0.19,0.9475415828916103,0.9457236896999732
0.8,0.2,0.947846219460184,0.9460565050512955
0.79,0.21,0.9477852921464692,0.9460110181340369
0.78,0.22,0.9480290014013282,0.9463147921276118
0.77,0.23,0.9480290014013282,0.9462196322525708
0.76,0.24,0.9479680740876135,0.9462232031503326
0.75,0.25,0.9481508560287577,0.9464860248924689
0.74,0.26,0.9481508560287577,0.9463951586288031
0.73,0.27,0.9480290014013282,0.9462655096231127
0.72,0.28,0.9479071467738988,0.9462322048649271
0.71,0.29,0.9481508560287577,0.9464350414710143
0.7,0.3,0.9484554925973314,0.9468252369371422
0.69,0.31,0.9484554925973314,0.9469666375359898
0.68,0.32,0.9486382745384756,0.9471752557704655
0.67,0.33,0.9486992018521904,0.9472092568349146
0.66,0.34,0.9488210564796198,0.9473309676518784
0.65,0.35,0.9490647657344787,0.9476784229216275
0.64,0.36,0.9493084749893377,0.9479745251779911
0.63,0.37,0.949491256930482,0.9480846417125591
0.62,0.38,0.949491256930482,0.9480818179897339
0.61,0.39,0.9495521842441966,0.9481171048895984
0.6,0.4,0.9497958934990556,0.9484089422878668
0.59,0.41,0.9499177481264851,0.9483925713067427
0.58,0.42,0.9501005300676293,0.9484615815793699
0.57,0.43,0.950648875891062,0.9490515943231006
0.56,0.44,0.9507707305184915,0.9491764171236365
0.55,0.45,0.9509535124596357,0.9493867202087154
0.54,0.46,0.9511362944007798,0.9496460679148417
0.53,0.47,0.9516237129104977,0.9502454264876279
0.52,0.48,0.9516846402242125,0.9505288448261959
0.51,0.49,0.9519283494790715,0.9509263240114418
0.5,0.5,0.9515627855967831,0.9506019565001261
0.49,0.51,0.9516237129104977,0.9504986652213994
0.48,0.52,0.951806494851642,0.9506565305592862
0.47,0.53,0.9518674221653567,0.9506397222044047
0.46,0.54,0.9515627855967831,0.9502954630472011
0.45,0.55,0.951319076341924,0.9501339412764278
0.44,0.56,0.951319076341924,0.9500345701755768
0.43,0.57,0.9509535124596357,0.9497435669742055
0.42,0.58,0.9502833120087736,0.9490147123818857
0.41,0.59,0.9502223846950588,0.949354962820305
0.4,0.6,0.9498568208127703,0.948935758314319
0.39,0.61,0.9495521842441966,0.9486426697175667
0.38,0.62,0.9491256930481935,0.9482685972526421
0.37,0.63,0.9490647657344787,0.9482767502559715
0.36,0.64,0.9486992018521904,0.9477517838714408
0.35,0.65,0.9488819837933345,0.9478209880418185
0.34,0.66,0.9486992018521904,0.9477025930752198
0.33,0.67,0.9481508560287577,0.9471199674123159
0.32,0.68,0.9476634375190398,0.9465629883743595
0.31,0.69,0.9472369463230366,0.946043280414411
0.3,0.7,0.9470541643818924,0.9459226335868948
0.29,0.71,0.9469932370681776,0.9457325454995061
0.28,0.72,0.946688600499604,0.9454279952884422
0.27,0.73,0.9463230366173155,0.9450425817558585
0.26,0.74,0.9454091269115945,0.9442032489909826
0.25,0.75,0.9451654176567356,0.9438965055423023
0.24,0.76,0.9449217084018766,0.943555447253515
0.23,0.77,0.9446170718333029,0.9434093533568932
0.22,0.78,0.9444952172058734,0.9433734420989189
0.21,0.79,0.9444952172058734,0.9434239180564881
0.2,0.8,0.944129653323585,0.9429020644165766
0.19,0.81,0.9438250167550113,0.9426537875845787
0.18,0.82,0.9436422348138671,0.9422943934200576
0.17,0.83,0.9435813075001523,0.9422116825448544
0.16,0.84,0.943398525559008,0.9421371929172958
0.15,0.85,0.9431548163041491,0.941840527457472
0.14,0.86,0.9429720343630049,0.9415921026256204
0.13,0.87,0.9429111070492902,0.9416461545464634
0.12,0.88,0.9427892524218607,0.9416615523230184
0.11,0.89,0.9427892524218607,0.9417008645344944
0.1,0.9,0.9425455431670018,0.9415495117573942
0.09,0.91,0.9421190519709985,0.9411301299857449
0.08,0.92,0.9419971973435691,0.9411932391763993
0.07,0.93,0.9418753427161396,0.9411153572451836
0.06,0.94,0.9415097788338512,0.9408764026162542
0.05,0.95,0.9414488515201365,0.9409314679741847
0.04,0.96,0.941570706147566,0.9410466552446262
0.03,0.97,0.9412051422652775,0.9407521233189818
0.02,0.98,0.9410223603241333,0.940576461285922
0.01,0.99,0.9407786510692744,0.9403189702264702
0.0,1.0,0.9406567964418449,0.9401437149791226
